Name,Roll Number,Department,Class,Section,Subject,Exam
Hansika Reddy,23CSE0201,CSE,II Year,A,Mathematics,End Semester Examination
Arjun Nair,23ECE0202,ECE,III Year,B,Physics,End Semester Examination
Meera Iyer,23MECH0203,MECH,II Year,C,Thermodynamics,End Semester Examination
Karthik Sharma,23IT0204,IT,II Year,A,Data Structures,End Semester Examination
Divya Menon,23CSE0205,CSE,III Year,B,DBMS,End Semester Examination
Naveen Rao,23ECE0206,ECE,II Year,A,Digital Electronics,End Semester Examination
Priya Verma,23MECH0207,MECH,III Year,C,Operating Systems,End Semester Examination
Vishnu Pillai,23IT0208,IT,III Year,B,Mathematics,End Semester Examination
Ananya Gupta,23CSE0209,CSE,II Year,A,Physics,End Semester Examination
Rahul Khan,23ECE0210,ECE,II Year,C,Data Structures,End Semester Examination
Keerthi Das,23MECH0211,MECH,II Year,B,DBMS,End Semester Examination
Surya Joshi,23IT0212,IT,III Year,A,Operating Systems,End Semester Examination
Lakshmi Bose,23CSE0213,CSE,III Year,C,Digital Electronics,End Semester Examination
Aditya Mehta,23ECE0214,ECE,III Year,A,Thermodynamics,End Semester Examination
Deepa Reddy,23MECH0215,MECH,III Year,B,Mathematics,End Semester Examination
Manoj Sharma,23IT0216,IT,II Year,C,Physics,End Semester Examination
Sowmya Iyer,23CSE0217,CSE,II Year,B,Data Structures,End Semester Examination
Harish Nair,23ECE0218,ECE,III Year,C,DBMS,End Semester Examination
Nithya Menon,23MECH0219,MECH,II Year,A,Operating Systems,End Semester Examination
Praveen Rao,23IT0220,IT,II Year,B,Digital Electronics,End Semester Examination
Swathi Verma,23CSE0221,CSE,III Year,A,Thermodynamics,End Semester Examination
Gopal Pillai,23ECE0222,ECE,II Year,B,Mathematics,End Semester Examination
Ramya Das,23MECH0223,MECH,III Year,C,Physics,End Semester Examination
Vikram Gupta,23IT0224,IT,III Year,A,Data Structures,End Semester Examination
Jaya Khan,23CSE0225,CSE,II Year,C,DBMS,End Semester Examination
Sathish Joshi,23ECE0226,ECE,III Year,B,Operating Systems,End Semester Examination
Haneesha Reddy,23MECH0227,MECH,II Year,B,Digital Electronics,End Semester Examination
Hanish Sharma,23IT0228,IT,II Year,A,Thermodynamics,End Semester Examination
Ravi Iyer,23CSE0229,CSE,III Year,B,Mathematics,End Semester Examination
Sneha Nair,23ECE0230,ECE,II Year,C,Physics,End Semester Examination
Hansika Reddy,23CSE0201,CSE,II Year,A,Mathematics,End Semester Examination
Meera Iyer,23MECH0203,MECH,II Year,C,Thermodynamics,End Semester Examination
